name,category,x,y,address,place_url
간판없는식당,음식점,128.86435,35.92982514,경북 영천시 금호읍 금호로 23-4,http://place.map.kakao.com/9696159
영천축산농협 한우프라자,음식점,128.8695263,35.93396534,경북 영천시 금호읍 대경로 1244,http://place.map.kakao.com/11568004
인과인,음식점,128.8708466,35.93305629,경북 영천시 금호읍 교대길 25,http://place.map.kakao.com/21274903
파리바게뜨 영천금호점,음식점,128.8716271,35.93161949,경북 영천시 금호읍 교대길 7,http://place.map.kakao.com/1060736551
금호기사식당,음식점,128.8686201,35.93387853,경북 영천시 금호읍 대경로 1236,http://place.map.kakao.com/15679839
BHC치킨 영천금호점,음식점,128.8715361,35.93217598,경북 영천시 금호읍 교대길 13-1,http://place.map.kakao.com/717352447
태화루,음식점,128.8703328,35.93377256,경북 영천시 금호읍 교대길 33-3,http://place.map.kakao.com/20196531
가든국밥,음식점,128.8656879,35.93357453,경북 영천시 금호읍 대경로 1211,http://place.map.kakao.com/12603736
강남한우식육식당,음식점,128.8746667,35.93187391,경북 영천시 금호읍 금호로 119,http://place.map.kakao.com/10131443
잔치집촌국수 영천점,음식점,128.8701255,35.93419029,경북 영천시 금호읍 대경로 1250,http://place.map.kakao.com/10738918
하양할매곰탕,음식점,128.8736859,35.93162971,경북 영천시 금호읍 금호로 109-1,http://place.map.kakao.com/14532862
금호반점,음식점,128.8731942,35.93530213,경북 영천시 금호읍 대경로 1280,http://place.map.kakao.com/462556694
화산돼지찌개 금호점,음식점,128.8709017,35.93398085,경북 영천시 금호읍 교대용대길 1,http://place.map.kakao.com/1539020654
대나무숲유황오리,음식점,128.8691023,35.94381188,경북 영천시 금호읍 성천앞길 41,http://place.map.kakao.com/15599206
BBQ 영천금호점,음식점,128.8701459,35.93261126,경북 영천시 금호읍 덕성길 12,http://place.map.kakao.com/1693683310
동호식당,음식점,128.8712423,35.93437833,경북 영천시 금호읍 교대용대길 7-9,http://place.map.kakao.com/16469625
고향식당,음식점,128.8764306,35.99407189,경북 영천시 청통면 청통로 118,http://place.map.kakao.com/667794477
대복떡집,음식점,128.8735325,35.93132574,경북 영천시 금호읍 금호로 108,http://place.map.kakao.com/11638677
호식이두마리치킨 금호점,음식점,128.8733699,35.93194823,경북 영천시 금호읍 금호시장길 44,http://place.map.kakao.com/8663535
땅땅치킨 영천금호점,음식점,128.8718177,35.93119931,경북 영천시 금호읍 금호로 93,http://place.map.kakao.com/18248167
분식하우스아찌,음식점,128.8738449,35.93141818,경북 영천시 금호읍 금호로 112,http://place.map.kakao.com/1117048986
타이짬뽕 금호점,음식점,128.8785456,35.93313786,경북 영천시 금호읍 금호로 157,http://place.map.kakao.com/2018912004
한식마당,음식점,128.8762023,35.93290239,경북 영천시 금호읍 교대4길 30,http://place.map.kakao.com/1716801106
담은산장,음식점,128.8794442,35.94581836,경북 영천시 금호읍 성천앞길 135-12,http://place.map.kakao.com/107917387
우천전원식당,음식점,128.8826956,35.998461,경북 영천시 청통면 청통로 43,http://place.map.kakao.com/1124275432
행운식당,음식점,128.877714,36.00872863,경북 영천시 화산면 장수로 684,http://place.map.kakao.com/12198231
천지케이터링,음식점,128.8857952,35.9195213,경북 영천시 금호읍 금창로 165,http://place.map.kakao.com/21539724
청년순대국,음식점,128.8781288,35.93251903,경북 영천시 금호읍 금호로 152,http://place.map.kakao.com/1707203398
민수산,음식점,128.8770579,35.93239972,경북 영천시 금호읍 금호로 141-1,http://place.map.kakao.com/401615173
조원국수김밥,음식점,128.8737134,35.93138329,경북 영천시 금호읍 금호로 110-1,http://place.map.kakao.com/24635268
불타는저팔계,음식점,128.8762159,35.93315088,경북 영천시 금호읍 교대2길 16,http://place.map.kakao.com/1649001551
개성순대돼지국밥,음식점,128.8851201,36.00193001,경북 영천시 청통면 장수로 572,http://place.map.kakao.com/8738372
삼거리식당,음식점,128.8846078,36.0015578,경북 영천시 화산면 청통로 4,http://place.map.kakao.com/1073065788
산동성왕손짜장,음식점,128.8871853,35.87604775,경북 영천시 대창면 금박로 975,http://place.map.kakao.com/8407735
신미숯불,음식점,128.8897192,35.87514284,경북 영천시 대창면 금박로 1000,http://place.map.kakao.com/8438247
한마당,음식점,128.8872224,35.88750191,경북 영천시 대창면 강회1길 19-4,http://place.map.kakao.com/606796865
만평식당,음식점,128.8911142,35.88669096,경북 영천시 대창면 금창로 547,http://place.map.kakao.com/17076163
현주네식당,음식점,128.8891114,35.89187766,경북 영천시 대창면 금창로 482-1,http://place.map.kakao.com/946299170
사계절보신탕,음식점,128.889002,35.89901516,경북 영천시 금호읍 금창로 404,http://place.map.kakao.com/9063376
종동제과,음식점,128.8915445,35.90644699,경북 영천시 금호읍 종동길 32-5,http://place.map.kakao.com/10090124
맥시칸치킨 금호점,음식점,128.8780254,35.93245847,경북 영천시 금호읍 금호로 150,http://place.map.kakao.com/9028216
우리식육식당,음식점,128.8794398,35.93299951,경북 영천시 금호읍 금호로 166,http://place.map.kakao.com/803728703
김복남맥주 영천금호점,음식점,128.8765756,35.93238653,경북 영천시 금호읍 금호로 137-1,http://place.map.kakao.com/227479733
까꾸리식당,음식점,128.8768821,35.93204023,경북 영천시 금호읍 금호로 140,http://place.map.kakao.com/1261570314
장안식당,음식점,128.8799828,35.933237,경북 영천시 금호읍 금호로 172,http://place.map.kakao.com/1648981077
꺽정이콩국수,음식점,128.8793037,35.93333324,경북 영천시 금호읍 금호로 165,http://place.map.kakao.com/27399597
평화식육식당,음식점,128.8784728,35.93277676,경북 영천시 금호읍 금호로 156,http://place.map.kakao.com/16000994
보성 추어탕고디탕 매기매운탕,음식점,128.879422,35.93299618,경북 영천시 금호읍 금호로 166,http://place.map.kakao.com/15891087
찬샘식당,음식점,128.8872447,35.93455305,경북 영천시 금호읍 찬샘3길 17,http://place.map.kakao.com/1138124583
미정식당,음식점,128.8760502,35.93284349,경북 영천시 금호읍 금호시장길 14-3,http://place.map.kakao.com/8313063
정성어탕 본점,음식점,128.8930425,36.05250429,경북 영천시 화남면 천문로 1506,http://place.map.kakao.com/634891124
별빛순두부,음식점,128.893661,36.05233863,경북 영천시 화남면 천문로 1502-7,http://place.map.kakao.com/1115804038
들꽃,음식점,128.8933725,36.05687649,경북 영천시 화남면 학지길 34-25,http://place.map.kakao.com/138119287
원조영천돌메기매운탕 영천본점,음식점,128.8919874,36.06016025,경북 영천시 화남면 천문로 1598,http://place.map.kakao.com/1028347826
자연숯불갈비식육점,음식점,128.8917255,36.06002111,경북 영천시 화남면 천문로 1595,http://place.map.kakao.com/17331934
통큰고깃집,음식점,128.8904712,36.05963722,경북 영천시 화남면 신화로 1211,http://place.map.kakao.com/614269884
삼창치킨,음식점,128.8922756,36.06093242,경북 영천시 화남면 천문로 1608,http://place.map.kakao.com/1301729171
명인제빵소,음식점,128.8920462,36.06094686,경북 영천시 화남면 천문로 1607,http://place.map.kakao.com/1013632228
강산구이,음식점,128.892459,36.06136114,경북 영천시 화남면 천문로 1612-2,http://place.map.kakao.com/8734308
손칼국수,음식점,128.8921789,36.06060506,경북 영천시 화남면 천문로 1604,http://place.map.kakao.com/978938611
장모식육식당,음식점,128.8923277,36.06070002,경북 영천시 화남면 천문로 1606-1,http://place.map.kakao.com/21499513
충청도아줌마,음식점,128.8916879,36.05988835,경북 영천시 화남면 천문로 1595,http://place.map.kakao.com/1646188143
황소식당,음식점,128.8922395,36.06141687,경북 영천시 화남면 천문로 1613,http://place.map.kakao.com/27594730
물자리매운탕,음식점,128.8934395,36.06411735,경북 영천시 화남면 현고길 9,http://place.map.kakao.com/1445706512
감포참가자미식당,음식점,128.8928627,36.06227836,경북 영천시 화남면 천문로 1624-1,http://place.map.kakao.com/1325558617
7080막창,음식점,128.8931734,36.0626474,경북 영천시 화남면 천문로 1628,http://place.map.kakao.com/1618800558
정든식당,음식점,128.8950419,35.87530767,경북 영천시 대창면 금박로 1051,http://place.map.kakao.com/10719592
형제식당,음식점,128.8946182,35.87499627,경북 영천시 대창면 금박로 1047,http://place.map.kakao.com/16281461
수정식당,음식점,128.8951803,35.87535234,경북 영천시 대창면 금박로 1053,http://place.map.kakao.com/8425109
짬뽕차이나,음식점,128.8922494,35.88292813,경북 영천시 대창면 금창로 588,http://place.map.kakao.com/88616807
산동왕짜장,음식점,128.8957342,35.87694575,경북 영천시 대창면 금창로 663,http://place.map.kakao.com/2065146159
대창식당,음식점,128.894363,35.87799193,경북 영천시 대창면 금창로 648-1,http://place.map.kakao.com/16228205
참조은식당,음식점,128.8953865,35.87619972,경북 영천시 대창면 금창로 672-10,http://place.map.kakao.com/15935900
용명식당,음식점,128.8955709,35.87557686,경북 영천시 대창면 금박로 1057,http://place.map.kakao.com/21499828
은해식당,음식점,128.8954887,35.87584488,경북 영천시 대창면 금창로 672-9,http://place.map.kakao.com/832511647
대창돼지국밥,음식점,128.8922229,35.8829799,경북 영천시 대창면 금창로 588,http://place.map.kakao.com/920620246
만석궁식당,음식점,128.8953508,35.87600204,경북 영천시 대창면 금창로 672-11,http://place.map.kakao.com/18730717
새토담구이,음식점,128.8955693,35.87606708,경북 영천시 대창면 금창로 672-7,http://place.map.kakao.com/15580125
송정코다리찜,음식점,128.8913603,35.88642217,경북 영천시 대창면 금창로 549-2,http://place.map.kakao.com/1280056081
가람숯불회,음식점,128.8917989,35.88502847,경북 영천시 대창면 금창로 567,http://place.map.kakao.com/1717047727
콩사랑,음식점,128.8967277,35.91979237,경북 영천시 금호읍 어은길 127,http://place.map.kakao.com/456095652
금호참숯뒷고기,음식점,128.8842689,35.93479805,경북 영천시 금호읍 금호로 213,http://place.map.kakao.com/16294017
중앙반점,음식점,128.8781989,35.93262606,경북 영천시 금호읍 금호로 152-1,http://place.map.kakao.com/9996701
청기와,음식점,128.8775641,35.93215752,경북 영천시 금호읍 거여로 2,http://place.map.kakao.com/1556396083
윤씨네반점,음식점,128.8962366,35.94055582,경북 영천시 금호읍 금호로 337-12,http://place.map.kakao.com/1515813406
신일식당,음식점,128.879489,35.93301676,경북 영천시 금호읍 금호로 166,http://place.map.kakao.com/9178679
서산미풍식당,음식점,128.8980188,35.98150899,경북 영천시 서운길 24-1,http://place.map.kakao.com/2134667320
청호한우식당,음식점,128.894518,35.99389925,경북 영천시 청통면 장수로 447,http://place.map.kakao.com/16281493
봉산식당,음식점,128.8955658,36.064391,경북 영천시 화남면 천문로 1656,http://place.map.kakao.com/1065904674
전가네손짜장,음식점,128.8987321,36.06674763,경북 영천시 화남면 천문로 1697,http://place.map.kakao.com/781746245
WHC치킨,음식점,128.8999085,36.06748318,경북 영천시 화남면 천문로 1709-1,http://place.map.kakao.com/1088183454
은행나무집,음식점,128.896056,36.07676665,경북 영천시 화남면 한천길 166,http://place.map.kakao.com/11318220
다금,음식점,128.8978022,35.87299151,경북 영천시 대창면 금창로 706-8,http://place.map.kakao.com/731772031
대창골식육식당,음식점,128.8972773,35.8741478,경북 영천시 대창면 대창시장길 27,http://place.map.kakao.com/1353552582
밥이술술,음식점,128.8964525,35.87461228,경북 영천시 대창면 대창시장길 14,http://place.map.kakao.com/1532040681
