lat,lon,ta_avg,td_avg,hm_avg
36.040303,128.811923,13.2,7.0,72.0
36.044903,128.812122,13.0,6.9,73.0
36.049504,128.812322,12.9,6.9,73.0
36.054105,128.812521,12.7,6.8,73.0
36.058705,128.81272,12.5,6.6,73.0
36.063306,128.812919,12.2,6.4,72.0
36.067907,128.813118,12.0,6.2,72.0
36.072508,128.813317,12.2,6.2,70.0
36.077109,128.813517,12.6,6.2,68.0
36.08171,128.813716,12.6,6.0,67.0
36.086311,128.813915,11.8,5.4,68.0
36.090912,128.814115,11.1,4.6,67.0
35.966539,128.814401,13.9,6.9,67.0
35.971139,128.8146,13.8,7.0,68.0
35.975739,128.814799,13.8,7.1,69.0
35.980339,128.814998,13.8,7.1,69.0
35.984938,128.815197,13.8,7.2,69.0
35.989538,128.815396,13.7,7.2,70.0
35.994138,128.815595,13.7,7.3,71.0
35.998738,128.815794,13.7,7.3,71.0
36.003338,128.815993,13.7,7.2,70.0
36.007939,128.816193,13.7,7.2,71.0
36.012539,128.816392,13.6,7.2,72.0
36.017139,128.816591,13.4,7.1,72.0
36.021739,128.81679,13.5,7.2,72.0
36.02634,128.81699,13.6,7.2,71.0
36.03094,128.817189,13.6,7.2,71.0
36.03554,128.817389,13.5,7.1,72.0
36.040141,128.817588,13.2,7.0,72.0
36.044742,128.817787,13.0,6.9,73.0
36.049342,128.817987,12.9,6.9,73.0
36.053943,128.818186,12.7,6.8,73.0
36.058544,128.818386,12.4,6.6,72.0
36.063144,128.818586,12.1,6.3,72.0
36.067745,128.818785,12.1,6.2,71.0
36.072346,128.818985,12.6,6.2,69.0
36.076947,128.819184,12.7,6.2,68.0
36.081548,128.819384,12.7,6.1,67.0
36.086149,128.819584,12.4,5.8,67.0
36.09075,128.819783,11.7,5.2,68.0
36.095351,128.819983,11.3,4.8,67.0
36.099952,128.820183,11.6,5.1,67.0
35.966377,128.820059,13.9,6.8,66.0
35.970977,128.820258,13.9,6.9,67.0
35.975577,128.820457,13.9,6.9,67.0
35.980177,128.820657,13.8,7.0,68.0
35.984776,128.820856,13.8,7.0,68.0
35.989376,128.821056,13.8,7.1,69.0
35.993976,128.821255,13.7,7.2,69.0
35.998576,128.821455,13.7,7.2,70.0
